,0,v1
1011,trip ok quit tire lor uni start today ok 4 co take modul ju concentr final yr project,ham
1012,7 wonder world 7th 6th ur style 5th ur smile 4th ur person 3rd ur natur 2nd ur sm 1st ur love friendship good morn dear,ham
1013,could read love answer,ham
1014,85233 free rington repli real,ham
1015,alway celebr ny famili,ham
1016,2p per min call germani 08448350055 bt line 2p per min check planettalkinst com info c text stop opt,spam
1017,hm good morn headach anyon,ham
1018,ask g iouri told stori like ten time alreadi,ham
1019,u nokia 6230 plu free digit camera u get u win free auction take part send nokia 83383 pobox114 14tcr w1 16,ham
1021,1 number 2 gonna massiv pain ass rather get involv possibl,spam
1023,howz person stori,ham
1024,account number,ham
1026,oh god happi see messag 3 day,ham
1027,ok finish 6,ham
1028,sit mu wait everyon get suit take shower,ham
1029,put readi lt time gt,ham
1030,10 min later k,ham
1031,sure whenev show fuck gt,ham
1034,e msg ju u said thank gift,ham
1035,bu way calicut,ham
1036,babe lost,ham
1037,congratul thank good friend u å 2 000 xma prize 2 claim easi call 08718726978 10p per minut bt nation rate,ham
1040,read shame tell take run blame u 4 ever realli 4 ever long time,ham
1041,wat time u finish ur lect today,ham
1042,xma prize draw tri contact u today draw show å 2000 prize guarante call 09058094565 land line valid 12hr,ham
1043,cant pick phone right pl send messag,ham
1045,wife knew time murder exactli,ham
1048,appt lt time gt fault u listen told u twice,ham
1050,mmm yummi babe nice jolt suzi,ham
1051,treasur everi moment spend togeth,ham
1052,privat 2003 account statement show 800 un redeem point call 08715203694 identifi code 40533 expir 31 10 04,ham
1053,k want us come,ham
1054,u repeat e instruct wat e road name ur hous,ham
1056,gonna abl late notic home week anyway plan,ham
1058,ffffffffff alright way meet sooner,ham
1059,award sipix digit camera call 09061221061 landlin deliveri within 28day cs box177 m221bp 2yr warranti 150ppm 16 p på 3 99,spam
1060,oga left phone home saw ur messag hope good great weekend,ham
1061,remind get shall,ham
1062,ok wif co like 2 tri new thing scare u dun like mah co u said loud,ham
1063,solv case man found murder lt decim gt lt gt afternoon 1 wife call polic 2 polic question everyon 3 wife sir sleep murder took place 4 cook cook 5 garden pick veget 6 hous maid went 2 post offic 7 children went 2 play 8 neighbour went 2 marriag polic arrest murder immedi repli reason u r brilliant,spam
1064,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss,ham
1065,ok care text drive,ham
1066,good good job like entrepreneur,ham
1067,ì_ submit da project tmr rite,ham
1068,read gud habit nan bari hudgi yorg pataistha ertini kano,spam
1069,tell rob mack gf theater,ham
1070,caus old live high,ham
1072,xy go 4 e lunch,spam
1076,get class bsn like lt gt minut know advis,ham
1077,come,ham
1078,see see mayb reboot ym seen buzz,ham
1079,ok stay night xavier sleep bag get tire,ham
1080,great get worri know wonder care person like best life know u r wonder god love,ham
1081,anyon call treadmil say buy make sure work found ad craigslist sell lt gt,ham
1082,ur chanc win å 250 cash everi wk txt play 83370 c www music trivia net custcar 08715705022 1x150p wk,ham
1083,haha okay today weekend leh,ham
1085,squeeeeez christma hug u lik frndshp den hug back u get 3 u r cute 6 u r luvd 9 u r lucki none peopl hate u,ham
1087,u sick still go shop,ham
1088,mah b pick tomorrow,spam
1089,pick drop car problem,ham
1091,ur chanc win å 250 wkli shop spree txt shop 80878 c www txt 2 shop com custcar 08715705022 1x150p wk,ham
1092,k call ah,ham
1093,ye meet town co go gep home could text bu stop worri finish march û_ ish,ham
1096,ìï bot note oredi co juz rem got,spam
1098,one issu california okay snow manag,ham
1099,someon u know ask date servic 2 contact cant guess call 09058095107 reveal pobox 7 s3xi 150p,ham
1100,probabl around mu lot,ham
1102,ye offic da,ham
1104,guarante 32000 award mayb even å 1000 cash claim ur award call free 0800 18 legitimat efreefon number wat u think,spam
1105,yup free,ham
1106,en chikku nang bakra msg kalstiya tea coffe,ham
1107,hi email address chang,ham
1108,k k good go,ham
1109,put sign choos number pin show right,ham
1110,shall send exe mail id,ham
1111,know friend alreadi told,ham
1112,hi darlin finish 3 u 1 2 pick meet text back number luv kate xxx,ham
1113,dont know jabo abi,ham
1114,need strong arm,ham
1116,love hear v see sundayish,ham
1118,noth u dinner w us,ham
1119,jamster get free wallpap text heart 88888 c appli 16 need help call 08701213186,spam
1120,sure yet still tri get hold,ham
1122,sent send,ham
1123,yar quit clever aft mani guess lor got ask 2 bring thk darren will 2 go aiya thk leona still attach wat,ham
1124,ju chillaxin,ham
1125,u go ikea str aft dat,spam
1127,what come hill monster hope great day thing r go fine busi though,ham
1130,ìï thk wat eat tonight,ham
1131,dont search love let love find u that call fall love bcoz u dont forc u fall u know smeon hold u bslvyl,ham
1132,ur paper e morn aft tmr,ham
1133,tri contact repli offer video phone 750 anytim network min half price line rental camcord repli call 08000930705,ham
1134,ye trust u buy new stuff asap tri,ham
1135,anyth specif regard jaklin idk fuck,ham
1136,carlo pick swing usf littl bit,spam
1137,white fudg oreo store,ham
1138,cant pick phone right pl send messag,ham
1139,dear sleep p,ham
1140,select stay 1 250 top british hotel noth holiday worth å 350 claim call london 02072069400 bx 526 sw73ss,ham
1141,thk u dun haf 2 hint e forum alreadi lor co told ron n darren go 2 tell shuhui,spam
1142,good morn dear great amp success day,ham
1143,actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday,ham
1145,need coffe run tomo believ time week alreadi,spam
1146,good sleep rhythm person establish rhythm bodi learn use want know,ham
1147,lt gt think say syllabu,ham
1148,hey leav big deal take care,ham
1149,yup give problem mayb ju leav,ham
1150,grandma oh dear u still ill felt shit morn think hungov anoth night leav sat,ham
1151,shit babe thasa bit mess yeh,ham
1152,today sunday sunday holiday work,ham
1153,pic pleas send,spam
1154,weekend fine excus much decor,ham
1155,regist sinco paye log icicibank com enter urn lt gt confirm bewar fraud share disclos urn anyon,ham
1156,u need presnt alway bcz u cant mi love jeevithathil irulina neekunna prakasamanu sneham prakasam ennal prabha mn prabha love got dont mi,ham
1157,send resum,ham
1159,dunno lei might b eatin wif fren ì_ wan eat wait 4 ì_ lar,ham
1160,merri christma u anni,ham
1161,watev relat u built di world thing remain atlast iz lonlin lotz n lot memori feel,ham
1162,nope meanwhil talk say make greet,spam
1164,tell reach,ham
1165,that cool gentleman treat digniti respect,ham
1166,orang custom may claim free camera phone upgrad loyalti call 0207 153 9996 offer end 14thmarch c appli opt availa,ham
1167,problem walk around julianaland oblivi go around say thing constantli go one ear go whatev want know upset listen tell go upset want surpris mad,ham
1169,suppos make still town though,ham
1170,sorri call later,ham
1171,need 8th campu atm could pick hour two,spam
1172,two carton u pleas shelv,ham
1174,left yet probabl gonna til dinner,ham
1177,awww dat sweet think someth nice time tonight ill probabl txt u later co im lone xxx,ham
1178,love come took long leav zaher got word ym happi see sad left miss,ham
1179,yavnt tri yet never play origin either,ham
1180,yeah abl text readi meet,ham
1182,also cbe pay,ham
1184,k sure consent form v,ham
1185,outsid island head toward hard rock run,ham
1187,urgent 1 week free membership å 100 000 prize jackpot txt word claim 81010 c www dbuk net lccltd pobox 4403ldnw1a7rw18,ham
1189,love,ham
1190,7 wonder world 7th 6th ur style 5th ur smile 4th ur person 3rd ur natur 2nd ur sm 1st ur love friendship good morn dear,ham
1191,mani happi return day wish happi birthday,ham
1192,hahaha use brain dear,ham
1194,sorri dude dont know forgot even dan remind sorri hope guy fun,ham
1195,dude got haircut breezi,spam
1196,thank temal wonder thank great week,ham
1198,ok lor u wan go look 4 u,ham
1200,oic better quickli go bath n settl,ham
1201,noic text,ham
1202,da what plan,ham
1203,still mayb leav credit card get ga get back like told,ham
1204,call senthil hsbc,spam
1205,whatev want know rule talk earlier week start happen show respons yet everi week bend rule way way whatev tire thia argument everi week lt gt movi doesnt inlud preview still get 1,ham
1206,sever sir,spam
1207,cool come like lt gt ish,ham
1208,sm servic inclus text credit pl goto www comuk net login 3qxj9 unsubscrib stop extra charg help 08702840625 comuk 220 cm2 9ae,ham
1210,even brother like speak treat like aid patent,ham
1211,caus freaki lol,ham
1213,ok sent u da latest version da project,ham
1214,hmm dunno leh mayb bag 4 goigng dat small ju anyth except perfum smth dat keep,ham
1216,pock,spam
1217,hello hun ru way im good 2 date guy met walkabout far meet soon how everyon els,ham
1218,way,ham
1221,nope wif si lor aft bath dog bath look like go 2 rain soon,ham
1222,friendship game play word say start march end may tomorrow yesterday today e,ham
1225,haf u eaten wat time u wan 2 come,ham
1226,anybodi number still thought tact way ask alex,spam
1227,greatest test courag earth bear defeat without lose heart gn tc,ham
1228,free 1st week no1 nokia tone 4 ur mob everi week txt nokia 8007 get txting tell ur mate www getz co uk pobox 36504 w45wq norm150p tone 16,spam
1229,raviyog peripher bhayandar east,ham
1230,howz pain hope u r fine,ham
1232,know u u know send chat 86688 let find 150p msg rcvd hg suite342 2land row w1j6hl ldn 18 year,ham
1233,vote wherev heart guid,ham
1234,anyth lor come,ham
1236,sorri call later,ham
1237,school n da lab stuff give call ì_ r done,ham
1238,yeah hope tyler could mayb ask around bit,ham
1239,wait call,ham
1240,much get,ham
1241,well welp sort semiobscur internet thing,ham
1243,uncl g check reward month,ham
1245,ur rington servic chang 25 free credit go club4mobil com choos content stop txt club stop 87070 150p wk club4 po box1146 mk45 2wt,ham
1246,messag import inform o2 user today lucki day 2 find log onto http www urawinn com fantast surpris await,ham
1247,still area restaur ill tri come back soon,ham
1248,import messag final contact attempt import messag wait custom claim dept expir 13 4 04 call 08717507382,ham
1249,either idea know anyplac someth,ham
1250,custom place call,ham
1251,miss,spam
1252,goodmorn grandfath expir leav today,ham
1254,new theori argument win situat lose person dont argu ur friend kick amp say alway correct,ham
1256,hiya last night naughti bought cloth littl readi shop tho kind time wanna meet,ham
1257,shoot big load get readi,ham
1258,januari male sale hot gay chat cheaper call 08709222922 nation rate 1 5p min cheap 7 8p min peak stop text call 08712460324 10p min,ham
1259,hey great deal farm tour 9am 5pm 95 pax 50 deposit 16 may,ham
1260,ard 530 like dat lor juz meet mrt station ì_ dun haf come,ham
1262,comingdown later,spam
1263,much u tri get,ham
1264,pl dont forget studi,ham
1265,sort code acc bank natwest repli confirm sent right person,ham
1266,bad girl still rememb,ham
1267,well done england get offici poli rington colour flag yer mobil text tone flag 84199 opt txt eng stop box39822 w111wx å 1 50,ham
1269,urgent mobil number award å 2000 prize guarante call 09058094454 land line claim 3030 valid 12hr,ham
1270,sorri help,ham
1271,hello u call wen u finish wrk fanci meetin wiv u tonit need break dabook 4 hr last nite 2 today wrk,ham
1272,ok chikku 1 favourit song,ham
1273,thank meet monday,spam
1274,wat time ì_ wan today,ham
1275,hiya probabl come home weekend next,ham
1276,know lt gt around 5,ham
1277,ga station like block away hous drive right sinc armenia end swann take howard,ham
1278,ask around lot term mid,ham
1279,promis though even gotten dinner yet,ham
1280,den weekday got special price haiz cant eat liao cut nail oso muz wait finish drivin wat lunch still muz eat wat,ham
1282,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,ham
1283,k jason say gonna around around lt gt,ham
1284,yo gonna still stock tomorrow today tri get dubsack,ham
1285,sorri call later,ham
1286,sorri da today wont come play drive cla,ham
1287,nah im goin 2 wrk j wot bout u,ham
1288,ok u enjoy ur show,ham
1289,jot thing want rememb later,ham
1290,u workin overtim nigpun,ham
1291,good afternoon love good see word ym get tm smart move slave smile drink coffe await,ham
1293,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,ham
1294,see thought,ham
1295,u ned convinc tht possibl witot hurt feel main,ham
1296,want new video phone 750 anytim network min half price line rental free text 3 month repli call 08000930705 free deliveri,ham
1298,send number give repli tomorrow morn said like ok,ham
1299,actual sleep still might u call back text gr8 rock si send u text wen wake,ham
1300,sorri lot friend friend stuff talk actual guy want buy,ham
1301,time tell friend around,ham
1302,get ticket 4 walsal tue 6 th march mate get sat ill pay treat want 2 go txt bak terri,ham
1303,sorri meet call later,ham
1304,opinion 1 2 jada 3 kusruthi 4 lovabl 5 silent 6 spl charact 7 matur 8 stylish 9 simpl pl repli,ham
1306,ur cash balanc current 500 pound maxim ur cash send go 86688 150p msg cc 08718720201 hg suite342 2land row w1j6hl,spam
1307,thank love rock,spam
1308,excel spent lt gt year air forc iraq afghanistan stabl honest like travel,ham
1309,r ì_ comin back dinner,ham
1310,yup msg tat yiju tot group mate co meet today mah askin ì_ leav earlier wat mah co mayb ì_ haf walk v far,ham
1311,plz note anyon call mobil co amp ask u type lt gt lt gt disconnect call coz iz attempt terrorist make use sim card itz confirmd nokia n motorola n verifi cnn ibn,ham
1312,want kiss feel next,ham
1313,call lt gt min that ok,ham
1314,tomorrow go theatr come wherev u call tell come tomorrow,ham
1316,hi spoke maneesha v like know satisfi experi repli toll free ye,ham
1317,nah wednesday bring mini cheeto bag,spam
1318,wish think gonna snow much flurri usual get melt hit ground eek snow sinc lt gt even born,ham
1320,yun buy school got offer 2000 plu,ham
1322,ou guarante latest nokia phone 40gb ipod mp3 player å 500 prize txt word collect 83355 ibhltd ldnw15h 150p mtmsgrcvd18,ham
1324,happi say,ham
1325,fine simpli sit,ham
1326,much r ì_ will pay,ham
1327,seriou like proper tongu,spam
1328,contract mobil 11 mnth latest motorola nokia etc free doubl min text orang tariff text ye callback remov record,ham
1329,go bed prin,ham
1331,didnt get ur full msg sometext miss send,ham
1332,wait 4 ì_ insid da car park,ham
1333,oh oh den muz chang plan liao go back yan jiu,ham
1336,so amount get pl,ham
1337,ok prob,ham
1338,yo howz u girl never rang india l,ham
1339,cant believ said mani thing morn realli want say good morn love beauti morn see librari later,ham
1340,urgent tri contact u today draw show å 800 prize guarante call 09050003091 land line claim c52 valid 12hr,ham
1341,dunno u ask,ham
1342,run away frm u walk slowli amp kill u care enough stop,ham
1343,ree entri 2 weekli comp chanc win ipod txt pod 80182 get entri std txt rate c appli 08452810073 detail 18,ham
1345,saw ron burgundi captain parti boat yeah,ham
1346,ok ill tell compani,ham
1347,ok day make dinner tonit invit,ham
1348,dont let studi stress l8r,ham
1349,run away frm u walk slowli amp kill u care enough stop,spam
1351,hi birth 8lb 7oz mother babi brilliantli,ham
1352,stop howev suggest stay someon abl give or everi stool,ham
1353,wonder get text,ham
1354,mobil number å 5000 claim call us back ring claim hot line 09050005321,ham
1355,123 congratul week competit draw u å 1450 prize claim call 09050002311 b4280703 cs stop sm 08718727868 18 150ppm,ham
1356,sale arsen dartboard good condit doubl trebl,ham
1357,lol u drunkard hair moment yeah still 4 tonight wat plan,ham
1358,babe back come back,ham
1359,ya referin mei ex wat ah waitin 4 u treat somebodi shld b rich liao gd den u dun work frm tmr onward,ham
1360,engalnd telli decid let watch mia elliot kiss damn,ham
1362,text doesnt repli let know log,ham
1363,u today,ham
1364,huh got lesson 4 lei n thinkin go sch earlier n tot parkin kent vale,ham
1365,er mw im fill tuth aight,spam
1366,much ur hdd case cost,ham
1367,mobil 10 mth updat latest camera video phone free keep ur number get extra free min text text ye call,ham
1368,wherr boytoy,ham
1369,freemsg claim ur 250 sm messag text ok 84025 use web2mobil 2 ur mate etc join txt250 com 1 50p wk c box139 la32wu 16 remov txtx stop,ham
1371,tot u outsid co darren say u come shop cours nice wat ju went sim lim look mp3 player,ham
1372,ok come ur home half hour,ham
1373,notic like look shit mirror your turn right freak,spam
1375,good even sir hope nice day want bring notic late pay rent past month pay lt gt charg felt would inconsider nag someth give great cost didnt speak howev recess wont abl pay charg month henc askin well ahead month end pleas help thank everyth,ham
1376,hey mate how u honey u ave good holiday gimmi de goss x,ham
1377,u hide stranger,spam
1378,ic lol play 9 door sometim yo,ham
1379,alright omw gotta chang order half8th,spam
1380,baaaaaaaab wake miss crave need,ham
1381,ok shall talk,ham
1382,ok,ham
1383,wake lt gt morn,ham
1384,call 08702490080 tell u 2 call 09066358152 claim å 5000 prize u 2 enter ur mobil person detail prompt care,ham
1385,hi love goe day fuck morn woke drop cell way stair seem alright phew miss,ham
1386,wan2 win meet greet westlif 4 u m8 current tour 1 unbreak 2 untam 3 unkempt text 1 2 3 83049 cost 50p std text,ham
1387,great hear settl well happenin wit ola,ham
1388,storm msg wen u lift phne u say hello u knw wt real mean hello name girl ye u knw dat girl margaret hello girlfrnd f grahmbel invnt telphon moral one 4get name person,ham
1389,enufcredeit tocal shall ileav uni 6 get bu yor hous,ham
1390,sea lay rock rock envelop envelop paper paper 3 word,ham
1391,work eye philosophi text u later bit free chat,ham
1394,lol happen vega stay vega,ham
1395,great new offer doubl min doubl txt best orang tariff get latest camera phone 4 free call mobileupd8 free 08000839402 2stoptxt cs,ham
1396,let pool money togeth buy bunch lotto ticket win get lt gt u get lt gt deal,ham
1398,hey babe friend cancel still visit,ham
1399,sorri grocer,ham
1401,hungri buy food good lei mum n yun dun wan juz buy littl bit,ham
1402,meet ì_ 5 4 depend ì_ wan 2 lor,ham
1403,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,ham
1404,live simpl love also simpl laugh simpl win tooo simpl simpl difficult gud nte,ham
1405,ya nice readi thursday,ham
1406,wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng di amt lt gt lac that prob,spam
1408,mayb woke fuck 3 problem,ham
1409,ok lor,ham
1413,good afternoon starshin boytoy crave yet ach fuck sip cappuccino miss babe teas kiss,spam
1414,repli name address receiv post week complet free accommod variou global locat www phb1 com ph 08700435505150p,ham
1415,ok good make money,ham
1416,ye pleas swim,ham
1417,v nice 2 sheffield tom 2 air opinion categori 2 b use 2 measur ethnic next censu busi transcrib,ham
1418,taxt massag tie po argh ok lool,ham
1422,weekli cool mob tone readi download week new tone includ 1 crazi frog axel f 2 akon lone 3 black eye dont p info n,spam
1423,ha ha pop loo hello ed hello,ham
1424,way send shade stuff wonder,ham
1426,alreadi back home probabl,ham
1427,holi live christ take long,ham
1428,need go get,ham
1429,check got detail messag,spam
1430,yeah class,ham
1431,realli quit funni lor wat u shd haf run shorter distanc wat,ham
1433,home way,ham
1434,daili text ûò favour time,ham
1435,freemsg fav xma tone repli real,ham
1437,k yan jiu liao sat go 4 bugi vill one frm 10 3 den hop parco 4 nb sun go cine frm 1030 2 den hop orc mrt 4 hip hop 4,ham
1439,night sweet sleep well see exorc emili rose may never sleep hug snog,ham
1440,recpt 1 3 order rington order process,ham
1441,goin workout lor muz lose e fat,ham
1442,urgent mobil number award å 2000 prize guarante call 09058094455 land line claim 3030 valid 12hr,ham
1443,word checkmat chess come persian phrase shah maat mean king dead goodmorn good day,spam
1444,wah oki oki muz make use e unlimit haha,ham
1445,free video camera phone half price line rental 12 mth 500 cross ntwk min 100 txt call mobileupd8 08001950382 call2optout 674,ham
1446,think chennai well settl,ham
1447,chile pleas lt decim gt hour drive come time sublet feb april audit season,ham
1449,sorri call later,ham
1450,last chanc 2 claim ur å 150 worth discount voucher text ye 85023 savamob member offer mobil cs 08717898035 å 3 00 sub 16 remov txt x stop,ham
1451,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,ham
1452,sir wait mail,ham
1453,doubl min doubl txt 1 2 price linerent latest orang bluetooth mobil call mobileupd8 latest offer 08000839402 call2optout lf56,ham
1454,u sound like manki scous boy steve like travel da bu home wot u inmind 4 recreat di eve,ham
1455,decemb mobil 11mth entitl updat latest colour camera mobil free call mobil updat co free 08002986906,spam
1456,forward 88877 free entri å 250 weekli comp send word enter 88877 18 c www textcomp com,ham
1457,friend use call,spam
1458,u wear,ham
1459,got lot hair dresser fr china,spam
1460,sexi sexi cum text im wet warm readi porn u fun msg free recd msg 150p inc vat 2 cancel text stop,ham
1461,ye sura sun tv lol,ham
1462,ugh hope asu ppl dont randomli reformat,spam
1463,imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck,ham
1464,erm û_ ill pick 6 45pm give enough time get park,ham
1465,tomorrow onward eve 6 3 work,spam
1466,chk ur belovd ms dict,ham
1469,gudnit tc practic go,ham
1470,shall call dear food,ham
1472,idea,ham
1473,oh ye like tortur watch england,ham
1474,know old dom told yesterday name roger got touch last night want meet today 2 pm,ham
1475,current messag await collect collect messag call 08718723815,ham
1476,ok pa noth problem,ham
1478,askd u question hour answer,ham
1479,make squeez lt gt buck dad,ham
1480,u want come back beauti necklac token heart that give wife like see one give dont call wait till come,ham
1481,8 min go lunch,ham
1482,take exam march 3,ham
1484,like spoil,ham
1486,goldvik 29 invit friend repli ye 762 762 see www sm ac u goldvik stop send stop frnd 62468,ham
1487,k k yesterday cbe,ham
1488,aaooooright work,ham
1489,hi darlin im missin u hope good time u back time u give call home jess xx,ham
1490,ok lor buy wat,ham
1492,goodmorn today late lt decim gt min,ham
1493,1 new voicemail pleas call 08719181513,ham
1494,place want da,ham
1495,lol oop sorri fun,ham
1496,life mean lot love life love peopl life world call friend call world ge,ham
1497,realli sorri b abl 2 friday hope u find altern hope yr term go ok,ham
1499,make 3 4 fuck sake x,spam
1500,hey what plan sat,ham
1501,ok also wan 2 watch e 9 pm show,spam
1502,leav wif lar ìï wan carri meh heavi da num 98321561 familiar ì_,ham
1503,nope sinc ayo travel forgotten guy,ham
1506,r go lt gt bu,spam
1507,er hello thing û quit go plan ûò limp slowli home follow aa exhaust hang,ham
1508,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear,ham
1510,free msg sorri servic order 81303 could deliv suffici credit pleas top receiv servic,ham
1511,gud ni8 dear slp well take care swt dream muah,ham
1512,senthil group compani apnt 5pm,ham
1515,first time histori need comfort luxuri sold price india onion rs lt gt petrol rs lt gt beer rs lt gt shesil lt gt,ham
1516,carlo say mu lt gt minut,ham
1517,could kiss feel next,spam
1518,omw back tampa west palm hear happen,ham
1519,ok chines food way get fat pay lipo,ham
1521,reckon need town eightish walk carpark,ham
1522,sens foot peni,ham
1523,2nd attempt contract u week top prize either å 1000 cash å 200 prize call 09066361921,ham
1524,excel see riley plan,ham
1525,ard 530 lor ok messag ì_ lor,ham
1527,u win å 100 music gift voucher everi week start txt word draw 87066 tsc www idew com skillgam 1winaweek age16 150ppermesssubscript,ham
1528,wat dear sleep ah,ham
1529,ard 6 like dat lor,ham
1530,clair havin borin time alon u wanna cum 2nite chat 09099725823 hope 2 c u luv clair xx callså 1 minmoremobsemspobox45po139wa,ham
1531,that cool gentleman treat digniti respect,ham
1532,dint come us,ham
1534,money r lucki winner 2 claim prize text money 2 88600 å 1million give away ppt150x3 normal text rate box403 w1t1ji,ham
1535,love know feel make belli warm wish love shall meet dream ahmad ador kiss,spam
1537,hi roger cl,ham
1538,think need go late school night especi one class one miss last wednesday probabl fail test friday,ham
1540,ask call ok,ham
1541,never blame day ur life good day give u happi bad day give u experi essenti life god bless good morn,ham
1542,sorri free,ham
1546,83039 62735 å 450 uk break accommodationvouch term condit appli 2 claim mustprovid claim number 15541,ham
1547,evo download flash jealou,ham
1548,u receiv msg,ham
1549,k must book huh go yoga basic sunday,ham
1550,becoz lt gt jan whn al post ofic holiday cn go fr post ofic got duffer,ham
1551,pick 5 15pm go taunton still want come,ham
1552,ok go chang also,ham
1554,go sleep tire travel,ham
1555,still work go small hous,ham
1556,revers cheat mathemat,ham
1559,win year suppli cd 4 store ur choic worth å 500 enter å 100 weekli draw txt music 87066 ts cs www ldew com subs16 1win150ppmx3,ham
1560,playng 9 door game gt race phone lol,ham
1563,mani depend,ham
1565,finish liao u,ham
1567,hello saturday go text see decid anyth tomo tri invit anyth,ham
1568,wat would u like 4 ur birthday,ham
1570,still game,ham
1571,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,ham
1572,uncl boy need movi oh guid plu know torrent particularli legal system slow gr8 day plu start co dont meet onlin honey moon,spam
1573,offic what matter msg call break,spam
1574,orang bring rington time chart hero free hit week go rington pic wap stop receiv tip repli stop,ham
1575,wat time r ì_ go xin hostel,ham
1576,dad say hurri hell,ham
1577,lol ok snatch purs,ham
1578,height oh shit situat guy throw luv letter gal fall brother head who gay,ham
1579,hello yeah got bath need hair come done yeah,ham
1581,hi princess thank pic pretti,ham
1582,get worri derek taylor alreadi assum worst,ham
1583,sir hope day go smoothli realli hope wont bother bill settl month extra cash know challeng time also let know,ham
1584,chang fb jaykwon thuglyf falconerf,ham
1585,gettin bit arti collag mo well tryin 2 ne way got roast min love shall enjoy,ham
1587,hey book 2 lesson sun liao,ham
1588,freemsg award free mini digit camera repli snap collect prize quizclub opt stop 80122300p wk sp rwm ph 08704050406,ham
1589,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,ham
1590,signific dont worri,ham
1591,jason say cool pick place like hour,ham
1592,mobi pub quiz win å 100 high street prize u know new duchess cornwal txt first name 82277 unsub stop å 1 50 008704050406 sp,ham
1594,msg rajini come,ham
1596,valentin day special win å 1000 quiz take partner trip lifetim send go 83600 150p msg rcvd custcar 08718720201,spam
1597,hi pleas get lt gt dollar loan pay back mid februari pl,spam
1600,think could stop like hour roommat look stock trip,ham
1601,got home babe still awak,ham
1602,tell bad charact u dnt lik tri chang lt gt add tat 2 new year resolut wait ur repli frank good morn,ham
1603,want tel u one thing u mistak k messag sent,ham
1604,valentin huh proof fb page ugh glad realli watch rupaul show tool,ham
1605,dont put phone silent mode ok,ham
1607,greatest test courag earth bear defeat without lose heart gn tc,ham
1608,well done blimey exercis yeah kinda rememb wot hmm,ham
1609,remind download content alreadi paid goto http doit mymobi tv collect content,ham
1610,oop shower u call hey park garag collaps univers hospit see crazi stuff like happen,ham
1613,gr8 handl victoria island traffic plu album due,ham
1616,thanx 4 puttin da fone,ham
1618,slow use biola fne,ham
1619,haha first person gonna ask,ham
1621,valentin game send di msg ur friend 5 answer r someon realli love u que colour suit best,ham
1622,pleas da call mistak side sorri da pl da goto doctor,spam
1623,ok lor anyway thk cant get ticket co like quit late alreadi u wan 2 go look 4 ur fren darren wif,ham
1624,thank princess sexi,spam
1625,today sunday sunday holiday work,ham
1626,reach 9 tell dont know,ham
1627,busi juz dun wan 2 go earli hee,spam
1628,actual decid hungri left yet v,ham
1629,k 2marrow come class,ham
1631,togeth thinkin,ham
1633,went project centr,ham
1634,22 day kick euro2004 u kept date latest news result daili remov send get txt stop 83222,spam
1635,yar lor wait 4 mum 2 finish sch lunch lor whole morn stay home clean room room quit clean hee,ham
1636,oooh got plenti,ham
1637,haha sound crazi dunno tahan anot,spam
1638,interest like,ham
1639,network technic support associ,spam
1640,took hooch walk toaday fell splat graze knee everyth stay home see tomorrow,ham
1641,avail like right around hillsborough amp lt gt th,ham
1642,free entri 2 weekli comp chanc win ipod txt pod 80182 get entri std txt rate c appli 08452810073 detail 18,ham
1644,rat hey u ever vote next theme,ham
1645,eeri nokia tone 4u rpli tone titl 8007 eg tone dracula 8007 titl ghost addamsfa munster exorcist twilight www getz co uk pobox36504w45wq 150p,ham
1646,sound good finger make difficult type,ham
1647,ìï got wat buy tell us ì_ need come,ham
1648,got tea sure flavour,ham
1649,r home come within 5 min,ham
1651,better still catch let ask sell lt gt,ham
1653,reciev tone within next 24hr term condit pleas see channel u teletext pg 750,ham
1655,eat old airport road 630 oredi got lot pple,ham
1656,go home first lar ì_ wait 4 lor put stuff first,ham
1657,wat r u,ham
1659,open door,ham
1660,today iz yellow rose day u love frndship give 1 misscal amp send ur frndz amp see mani miss call u get u get 6miss u marri ur lover,ham
1661,privat 2003 account statement 07753741225 show 800 un redeem point call 08715203677 identifi code 42478 expir 24 10 04,ham
1662,saturday sunday holiday difficult,spam
1663,ye princess want pleas everi night wish command,ham
1664,dunno lei neva say,ham
1667,home ard wat time u reach,ham
1668,urgent 4 costa del sol holiday å 5000 await collect call 09050090044 toclaim sae tc pobox334 stockport sk38xh costå 1 50 pm max10min,ham
1670,drama pl enough famili struggl hot sun strang place reason ego go invit actual necess go wait seriou reppurcuss,ham
1671,beauti truth graviti read care heart feel light someon feel heavi someon leav goodmorn,ham
1673,da run activ full version da,spam
1674,see miss call dear brother gr8 day,ham
